,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
462,Kisesa,TZ,-3.0833,34.15,60.67,62,90,5.79,overcast clouds
463,Ugoofaaru,MV,5.6667,73.0,82.89,71,0,7.81,clear sky
464,Kirakira,SB,-10.4544,161.9205,84.13,74,99,5.97,overcast clouds
465,Sakakah,SA,29.9697,40.2064,68.0,22,0,17.27,clear sky
466,Kirya,TZ,-3.9167,37.4833,70.36,84,17,4.05,few clouds
467,Minot,US,48.2325,-101.2963,37.4,35,1,11.5,clear sky
468,Baykit,RU,61.67,96.37,8.62,91,100,2.84,overcast clouds
469,Jining,CN,35.405,116.5814,46.31,88,100,8.61,light rain
470,Billings,US,45.7833,-108.5007,46.4,17,40,11.5,scattered clouds
471,Samarai,PG,-10.6167,150.6667,84.72,70,100,7.61,overcast clouds
472,Iwanai,JP,42.9744,140.5089,37.29,77,0,11.54,clear sky
473,Broken Hill,AU,-31.95,141.4333,71.6,64,0,10.36,clear sky
474,Kambove,CD,-10.8764,26.5969,59.07,97,67,1.66,broken clouds
475,Saint-Louis,SN,16.3333,-15.0,71.6,30,0,2.3,clear sky
476,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,100,90,6.71,snow
477,Terney,RU,45.0503,136.6092,36.14,75,0,2.62,clear sky
478,Sibolga,ID,1.7427,98.7792,78.53,74,98,3.24,overcast clouds
479,San Policarpo,PH,12.1791,125.5072,79.74,83,100,18.81,overcast clouds
480,Shijak,AL,41.3456,19.5672,39.2,70,75,11.5,broken clouds
481,Escarcega,MX,18.6089,-90.7454,74.89,69,99,2.1,overcast clouds
482,Isiolo,KE,0.3546,37.5822,69.19,54,100,7.83,overcast clouds
483,Balykshi,KZ,47.0667,51.8667,12.2,79,75,6.71,mist
484,Saryagash,KZ,41.4511,69.1701,41.0,100,100,2.3,mist
485,Kibala,TD,9.1104,18.3463,77.0,50,0,5.5,clear sky
486,Bafia,CM,4.75,11.2333,73.45,91,100,4.43,overcast clouds
487,Zhigalovo,RU,54.8097,105.1578,18.05,93,7,2.44,clear sky
488,Lunenburg,CA,44.3835,-64.3155,35.6,93,1,11.5,clear sky
489,Owando,CG,-0.4819,15.8999,73.02,90,96,3.4,overcast clouds
490,San Jose,US,37.3394,-121.895,54.0,62,75,4.94,broken clouds
491,San Patricio,US,28.017,-97.5169,72.0,83,75,20.71,broken clouds
492,Tucurui,BR,-3.7661,-49.6725,74.98,93,100,5.3,overcast clouds
493,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.13,90,100,9.62,overcast clouds
494,Sinnamary,GF,5.3833,-52.95,77.43,85,100,11.92,overcast clouds
495,Salamanca,ES,40.8333,-6.0,46.99,87,0,5.75,clear sky
496,Asfi,MA,32.2994,-9.2372,54.25,82,0,18.97,clear sky
497,Barroso,BR,-21.1869,-43.9758,64.35,90,100,1.72,overcast clouds
498,Nadym,RU,65.5333,72.5167,-34.31,84,0,2.86,clear sky
499,Kribi,CM,2.95,9.9167,80.8,83,100,4.0,overcast clouds
500,Camacha,PT,33.0833,-16.3333,60.8,67,75,8.05,broken clouds
501,Casian,PH,11.035,119.7136,81.48,74,0,24.92,clear sky
502,Henties Bay,NA,-22.116,14.2845,64.4,84,0,7.05,clear sky
503,Urumqi,CN,43.801,87.6005,30.2,93,90,4.47,light snow
504,Orito,CO,0.6766,-76.8771,72.57,83,100,1.34,overcast clouds
505,Port Lincoln,AU,-34.7333,135.8667,68.58,71,94,8.72,overcast clouds
506,Yashalta,RU,46.3395,42.2762,26.71,81,100,11.12,overcast clouds
507,Cap Malheureux,MU,-19.9842,57.6142,75.99,81,0,1.99,clear sky
508,Nyurba,RU,63.2842,118.3319,-3.01,90,45,7.78,scattered clouds
509,Coos Bay,US,43.3665,-124.2179,51.01,81,75,11.5,broken clouds
510,Namibe,AO,-15.1961,12.1522,74.37,73,98,6.6,overcast clouds
511,Nhulunbuy,AU,-12.2333,136.7667,86.0,66,75,6.91,broken clouds
512,Gazanjyk,TM,39.2446,55.5154,43.75,64,0,8.43,clear sky
513,Labuhan,ID,-6.8844,112.2051,80.46,80,77,5.35,broken clouds
514,Oskaloosa,US,41.2964,-92.6444,68.0,60,1,23.02,clear sky
515,Kashi,CN,39.4547,75.9797,46.4,31,40,8.95,scattered clouds
516,Faya,SA,18.3851,42.4509,62.6,77,0,2.77,clear sky
517,Kolondieba,ML,11.0882,-6.8926,78.76,20,2,4.85,clear sky
518,Kalashnikovo,RU,57.2824,35.2262,-0.42,90,0,2.82,clear sky
519,Barcelona,ES,41.3888,2.159,53.01,76,0,5.75,clear sky
520,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,64.99,92,1,5.95,clear sky
521,Santa Cruz,BO,-17.8,-63.1667,78.8,73,0,5.75,clear sky
522,Ferme-Neuve,CA,46.7001,-75.4493,48.2,46,100,10.36,overcast clouds
523,Esperance,AU,-33.8667,121.9,68.0,77,40,14.97,light rain
524,Salinopolis,BR,-0.6136,-47.3561,77.58,85,100,5.66,overcast clouds
525,Sistranda,NO,63.7256,8.834,33.8,60,0,36.82,clear sky
526,Qandala,SO,11.472,49.8728,76.23,62,0,5.84,clear sky
527,Vallenar,CL,-28.5708,-70.7581,62.37,80,2,2.48,clear sky
528,Belmonte,BR,-15.8631,-38.8828,77.0,73,0,8.05,clear sky
529,Erenhot,CN,43.6475,111.9767,31.01,92,0,16.44,clear sky
530,Kikwit,CD,-5.041,18.8162,73.65,76,100,2.01,overcast clouds
531,Udachnyy,RU,66.4167,112.4,-12.84,83,95,10.25,overcast clouds
532,Gravdal,NO,68.1214,13.5031,26.13,90,100,16.04,overcast clouds
533,Bourne,GB,52.7667,-0.3833,52.0,82,75,25.32,light rain
534,Esmeraldas,BR,-19.7625,-44.3139,68.0,83,40,4.61,scattered clouds
535,Vagur,FO,61.4732,-6.8119,39.74,90,100,15.19,overcast clouds
536,Karpathos,GR,35.507,27.2132,59.0,82,43,13.8,scattered clouds
537,Abu Samrah,SY,35.3029,37.1841,53.15,66,100,7.76,overcast clouds
538,Santa Maria,BR,-29.6842,-53.8069,64.67,65,0,3.56,clear sky
539,Sirjan,IR,29.452,55.6814,49.89,45,0,6.82,clear sky
540,Margate,GB,51.3813,1.3862,51.01,87,100,8.01,light rain
541,Teya,RU,60.3778,92.6267,14.86,94,100,5.46,snow
542,Sibu,MY,2.3,111.8167,73.4,100,40,5.75,mist
543,Stornoway,GB,58.2093,-6.3865,43.0,93,75,18.41,broken clouds
544,Jingcheng,CN,32.0142,120.2625,52.0,94,100,7.52,light rain
545,Yaring,TH,6.8662,101.3689,75.2,88,40,4.61,scattered clouds
546,Kamloops,CA,50.6665,-120.3192,44.6,26,20,14.97,few clouds
547,Neryungri,RU,56.6709,124.6491,10.42,91,75,3.29,broken clouds
548,Danane,CI,7.2596,-8.155,72.45,96,96,1.03,light rain
549,Sorong,ID,-0.8833,131.25,84.0,67,0,5.23,clear sky
550,Quime,BO,-16.9833,-67.2167,45.1,74,52,0.87,broken clouds
551,Trincomalee,LK,8.5711,81.2335,81.27,76,100,12.15,overcast clouds
552,Glasgow,GB,55.8652,-4.2576,46.99,87,75,26.46,light rain
553,Vavoua,CI,7.3819,-6.4778,76.6,79,99,6.15,overcast clouds
554,Sorland,NO,67.667,12.6934,28.53,92,100,21.65,overcast clouds
555,Marawi,PH,7.9986,124.2928,75.99,93,96,1.99,light rain
556,Vila Velha,BR,-20.3297,-40.2925,75.2,94,40,9.22,heavy intensity rain
557,Valparaiso,CL,-33.0393,-71.6273,62.01,88,0,10.47,clear sky
558,Nosy Varika,MG,-20.5833,48.5333,75.27,84,20,2.19,light rain
559,Nicolas Bravo,MX,18.45,-88.9167,79.0,69,20,8.05,few clouds
560,Mishelevka,RU,52.8575,103.1719,19.74,95,0,7.14,clear sky
561,Tatarbunary,UA,45.8373,29.6142,30.56,88,95,11.95,overcast clouds
562,Havelock,US,34.8791,-76.9013,59.0,44,1,6.91,clear sky
563,Pangnirtung,CA,66.1451,-65.7125,-11.33,84,100,3.71,overcast clouds
564,Fukue,JP,32.6881,128.8419,60.8,77,75,3.44,broken clouds
565,Leh,IN,34.1667,77.5833,18.97,78,48,2.24,scattered clouds
566,Mehamn,NO,71.0357,27.8492,18.05,89,100,14.41,overcast clouds
567,Nisia Floresta,BR,-6.0911,-35.2086,80.6,78,40,5.75,scattered clouds
568,Tabuk,PH,17.4189,121.4443,73.87,76,100,0.16,overcast clouds
569,Lahad Datu,MY,5.0268,118.327,79.14,87,100,6.24,light rain
570,Tiradentes,BR,-21.1103,-44.1781,64.72,91,100,1.7,light rain
571,Solnechnyy,RU,50.7214,136.6319,28.4,90,0,4.05,clear sky
572,Kota Kinabalu,MY,5.9749,116.0724,80.6,83,20,2.3,few clouds
573,Isangel,VU,-19.55,169.2667,86.0,66,40,6.91,scattered clouds
574,Wairoa,NZ,-39.0333,177.3667,63.0,93,100,7.0,overcast clouds
575,Maningrida,AU,-12.0667,134.2667,85.19,70,53,7.38,broken clouds
576,Honiara,SB,-9.4333,159.95,84.94,66,100,4.14,overcast clouds
577,Ilulissat,GL,69.2167,-51.1,15.8,73,90,3.44,overcast clouds
578,Kualakapuas,ID,-3.0091,114.3876,78.8,89,100,3.44,overcast clouds
579,Teluknaga,ID,-6.0989,106.6381,78.01,94,75,2.3,light rain
580,Great Yarmouth,GB,52.6083,1.7305,51.8,87,75,21.85,broken clouds
581,Ukiah,US,39.1502,-123.2078,44.6,76,75,8.05,broken clouds
582,Rio Cuarto,AR,-33.1307,-64.3499,75.2,57,0,12.66,clear sky
583,Ozinki,RU,51.1786,49.6769,-6.14,91,67,11.83,broken clouds
584,Ellensburg,US,46.9965,-120.5479,48.2,43,90,5.75,overcast clouds
585,Okhotsk,RU,59.3833,143.3,3.27,91,100,2.86,overcast clouds
586,Sur,OM,22.5667,59.5289,75.69,41,0,3.06,clear sky
587,Oranjestad,AW,12.524,-70.027,78.8,78,20,16.11,few clouds
588,Innisfail,AU,-17.5333,146.0333,82.17,70,20,8.66,few clouds
589,Gravelbourg,CA,49.8834,-106.5512,21.27,96,12,14.85,few clouds
590,Iskateley,RU,67.6803,53.1512,11.08,96,100,6.96,light snow
591,Sterling,US,39.0062,-77.4286,64.4,31,75,6.91,broken clouds
592,Bonthe,SL,7.5264,-12.505,79.29,86,32,6.71,scattered clouds
593,Banjar,ID,-8.19,114.9675,82.4,83,20,4.61,few clouds
594,Nuuk,GL,64.1835,-51.7216,21.2,86,90,5.82,light snow
595,Stokmarknes,NO,68.5646,14.9108,23.0,66,0,3.0,clear sky
596,Tambopata,PE,-12.7333,-69.1833,76.66,66,1,1.72,clear sky
597,Nanakuli,US,21.3906,-158.1547,80.6,69,1,13.8,clear sky
598,Barmer,IN,25.75,71.3833,68.95,40,0,8.75,clear sky
599,Eloi Mendes,BR,-21.61,-45.5653,63.93,91,100,2.01,overcast clouds
600,Wanxian,CN,30.8039,108.3897,56.12,75,100,1.25,overcast clouds
601,Padang,ID,-0.9492,100.3543,75.2,94,20,2.3,few clouds
602,Asau,RO,46.4333,26.4,27.0,65,100,3.24,light snow
603,Mayumba,GA,-3.432,10.6554,79.43,85,100,5.59,overcast clouds
604,Meulaboh,ID,4.1363,96.1285,76.01,79,10,5.84,clear sky
605,Verkhnyaya Inta,RU,65.9811,60.3094,-21.17,84,0,4.21,clear sky
606,Anchorage,US,61.2181,-149.9003,32.0,86,90,8.05,light snow
607,Ust-Kuyga,RU,70.0167,135.6,-4.7,89,100,3.53,overcast clouds
608,Richards Bay,ZA,-28.783,32.0377,71.49,89,0,2.82,clear sky
609,Novyy Urengoy,RU,66.0833,76.6333,-32.62,85,0,2.73,clear sky
610,Daru,PG,-9.0763,143.2092,85.14,70,47,6.31,scattered clouds
611,Miraflores,MX,19.2167,-98.8083,75.2,8,1,14.97,clear sky
612,Roebourne,AU,-20.7833,117.1333,95.25,37,0,11.1,clear sky
613,Saint-Joseph,RE,-21.3667,55.6167,78.8,73,20,12.66,light rain
614,Bichura,RU,50.5881,107.6022,25.02,91,0,1.63,clear sky
615,Katobu,ID,-4.9408,122.5276,80.44,85,100,2.53,overcast clouds
616,Grimmen,DE,54.1121,13.0405,39.2,65,75,9.22,broken clouds
617,Merrill,US,45.1805,-89.6835,54.0,100,90,3.44,overcast clouds
618,Salaga,GH,8.5508,-0.5188,83.66,60,70,9.17,light rain
619,Red Bluff,US,40.1785,-122.2358,48.0,71,90,8.05,light rain
620,Tekkali,IN,18.6167,84.2333,71.65,87,0,4.23,clear sky
621,Da Nang,VN,16.0678,108.2208,77.0,83,40,2.3,scattered clouds
622,Changji,CN,44.0167,87.3167,30.2,93,90,4.47,mist
623,Kudahuvadhoo,MV,2.6708,72.8944,82.22,69,9,2.28,clear sky
624,Eniwa,JP,42.8779,141.5442,35.6,69,20,10.36,few clouds
625,Aguimes,ES,27.9054,-15.4461,64.4,59,75,23.02,broken clouds
626,El Cobre,CU,20.0489,-75.9469,75.2,73,40,10.36,scattered clouds
627,Tonantins,BR,-2.8731,-67.8022,72.23,97,99,1.72,overcast clouds
628,Inhambane,MZ,-23.865,35.3833,75.16,89,19,10.36,few clouds
629,Deer Lake,CA,49.1667,-57.4316,30.2,69,75,3.44,broken clouds
630,Bandarbeyla,SO,9.4942,50.8122,75.97,79,16,9.44,few clouds
631,Culemborg,NL,51.955,5.2278,46.99,90,100,15.01,overcast clouds
632,Mantua,IT,45.1667,10.7833,39.99,79,97,3.0,overcast clouds
633,Celestun,MX,20.8667,-90.4,76.37,67,43,18.37,scattered clouds
634,Montego Bay,JM,18.4712,-77.9188,77.0,78,20,18.41,few clouds
635,Manokwari,ID,-0.8667,134.0833,83.14,72,72,10.63,broken clouds
636,Sabang,ID,5.8933,95.3214,82.81,73,23,18.63,few clouds
637,Palmer,US,42.1584,-72.3287,46.4,49,20,9.22,few clouds
638,Ambovombe,MG,-25.1667,46.0833,72.77,83,0,4.72,clear sky
639,Soldotna,US,60.4878,-151.0583,30.2,100,90,8.05,snow
640,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,80.98,45,0,3.65,clear sky
641,Nongan,CN,44.382,125.1685,37.4,81,0,2.24,mist
642,Buraydah,SA,26.326,43.975,66.2,39,0,4.61,clear sky
643,Svetlogorsk,BY,52.6333,29.7333,19.71,95,98,5.26,overcast clouds
644,Gizo,SB,-8.103,156.8419,83.23,69,54,1.74,light rain
645,Kamaishi,JP,39.2667,141.8833,42.8,45,20,6.91,few clouds
646,Dongkan,CN,33.9997,119.8308,46.81,83,100,3.2,light rain
647,Hella,NO,67.2,14.4333,28.4,54,0,18.41,clear sky
648,Loa Janan,ID,-0.583,117.095,83.34,66,85,1.88,overcast clouds
649,Vytegra,RU,61.0064,36.4481,-0.04,93,100,4.18,overcast clouds
650,Maneadero,MX,31.7167,-116.5667,55.99,78,42,1.99,scattered clouds
651,Horodkivka,UA,49.9068,28.9847,23.27,88,79,4.03,broken clouds
652,Yulara,AU,-25.2406,130.9889,84.2,51,73,4.61,broken clouds
653,Suntar,RU,62.1444,117.6319,4.1,93,95,6.35,overcast clouds
654,Maragogi,BR,-9.0122,-35.2225,78.42,82,3,8.63,clear sky
655,Andrelandia,BR,-21.7397,-44.3092,63.16,92,100,2.08,overcast clouds
656,Coihaique,CL,-45.5752,-72.0662,42.8,87,75,6.91,broken clouds
657,Valle De Juarez,MX,19.9333,-102.9333,67.44,43,0,6.13,clear sky
658,Anloga,GH,5.7947,0.8973,84.2,79,20,11.5,few clouds
659,Stellenbosch,ZA,-33.9346,18.8668,62.6,100,75,5.75,broken clouds
660,Ewa Beach,US,21.3156,-158.0072,80.6,69,1,13.8,clear sky
661,Bud,US,39.447,-86.1758,64.4,55,90,13.8,overcast clouds
662,Miri,MY,4.4148,114.0089,78.8,94,20,4.61,few clouds
663,Bonoua,CI,5.2741,-3.595,80.6,94,20,5.75,few clouds
664,Mitu,CO,1.1983,-70.1733,72.36,95,100,1.12,overcast clouds
665,Maracacume,BR,-2.0428,-45.9592,73.83,97,100,2.51,overcast clouds
666,Nago,JP,26.5881,127.9761,71.6,88,1,4.61,clear sky
667,Pauini,BR,-7.7136,-66.9764,72.52,96,51,2.37,broken clouds
668,Puerto Escondido,MX,15.85,-97.0667,78.03,73,0,2.64,clear sky
669,Smila,UA,49.2224,31.8871,24.96,87,62,6.35,broken clouds
670,Ilo,PE,-17.6394,-71.3375,71.98,81,55,2.59,broken clouds
671,Birjand,IR,32.8663,59.2211,41.0,38,0,4.61,clear sky
672,Fortuna,US,40.5982,-124.1573,50.0,87,90,6.91,light rain
673,Kapit,MY,2.0167,112.9333,77.11,88,100,1.7,overcast clouds
674,Siilinjarvi,FI,63.0833,27.6667,-9.4,77,0,3.44,clear sky
675,Contai,IN,21.7786,87.7536,73.49,91,0,4.76,clear sky
676,Ciudad Bolivar,VE,8.1222,-63.5497,83.46,53,100,15.12,overcast clouds
677,Winneba,GH,5.3511,-0.6231,82.4,78,20,9.22,few clouds
678,Hami,CN,42.8,93.45,46.67,47,7,6.53,clear sky
679,Kisangani,CD,0.5167,25.2,69.22,96,2,3.15,clear sky
680,Yafran,LY,32.0633,12.5286,48.74,88,100,12.15,overcast clouds
681,Lai,TD,9.3952,16.2989,82.42,37,63,5.93,broken clouds
682,Bowen,AU,-20.0167,148.2333,84.2,70,75,10.36,broken clouds
683,Cape Canaveral,US,28.4058,-80.6048,68.0,73,20,5.75,few clouds
684,Onokhoy,RU,51.932,108.0747,6.8,85,3,2.24,clear sky
685,Chachapoyas,PE,-6.2317,-77.869,52.99,88,33,0.63,scattered clouds
686,Rocha,UY,-34.4833,-54.3333,60.64,91,0,4.34,clear sky
687,Mount Darwin,ZW,-16.7725,31.5838,64.69,94,0,1.66,clear sky
688,Norden,DE,53.6,7.2,42.01,92,100,32.99,moderate rain
689,Jishou,CN,28.3167,109.7167,50.97,78,90,0.6,overcast clouds
690,Camabatela,AO,-8.1881,15.375,62.35,97,67,1.32,broken clouds
691,Liverpool,GB,53.4106,-2.9779,51.8,76,75,25.32,broken clouds
692,Mayskiy,RU,47.6931,40.1025,17.6,79,0,6.71,clear sky
693,Makakilo City,US,21.3469,-158.0858,80.6,69,1,13.8,clear sky
694,Acuitzio,MX,20.345,-101.9771,72.48,19,1,3.27,clear sky
695,Even Yehuda,IL,32.2696,34.8876,64.4,52,0,8.05,clear sky
